census_year,clue_small_area,total
2002-01-01T00:00:00+00:00,Carlton,241
2002-01-01T00:00:00+00:00,Docklands,24
2002-01-01T00:00:00+00:00,East Melbourne,39
2002-01-01T00:00:00+00:00,Kensington,8
2002-01-01T00:00:00+00:00,Melbourne (CBD),1072
2002-01-01T00:00:00+00:00,Melbourne (Remainder),37
2002-01-01T00:00:00+00:00,North Melbourne,79
2002-01-01T00:00:00+00:00,Parkville,30
2002-01-01T00:00:00+00:00,Port Melbourne,3
2002-01-01T00:00:00+00:00,South Yarra,10
2002-01-01T00:00:00+00:00,Southbank,100
2002-01-01T00:00:00+00:00,West Melbourne (Industrial),13
2002-01-01T00:00:00+00:00,West Melbourne (Residential),50
2003-01-01T00:00:00+00:00,Carlton,274
2003-01-01T00:00:00+00:00,Docklands,50
2003-01-01T00:00:00+00:00,East Melbourne,44
2003-01-01T00:00:00+00:00,Kensington,8
2003-01-01T00:00:00+00:00,Melbourne (CBD),1072
2003-01-01T00:00:00+00:00,Melbourne (Remainder),37
2003-01-01T00:00:00+00:00,North Melbourne,99
2003-01-01T00:00:00+00:00,Parkville,33
2003-01-01T00:00:00+00:00,Port Melbourne,3
2003-01-01T00:00:00+00:00,South Yarra,10
2003-01-01T00:00:00+00:00,Southbank,100
2003-01-01T00:00:00+00:00,West Melbourne (Industrial),13
2003-01-01T00:00:00+00:00,West Melbourne (Residential),55
2004-01-01T00:00:00+00:00,Carlton,274
2004-01-01T00:00:00+00:00,Docklands,50
2004-01-01T00:00:00+00:00,East Melbourne,44
2004-01-01T00:00:00+00:00,Kensington,11
2004-01-01T00:00:00+00:00,Melbourne (CBD),1222
2004-01-01T00:00:00+00:00,Melbourne (Remainder),46
2004-01-01T00:00:00+00:00,North Melbourne,99
2004-01-01T00:00:00+00:00,Parkville,33
2004-01-01T00:00:00+00:00,Port Melbourne,11
2004-01-01T00:00:00+00:00,South Yarra,13
2004-01-01T00:00:00+00:00,Southbank,107
2004-01-01T00:00:00+00:00,West Melbourne (Industrial),13
2004-01-01T00:00:00+00:00,West Melbourne (Residential),55
2005-01-01T00:00:00+00:00,Carlton,300
2005-01-01T00:00:00+00:00,Docklands,108
2005-01-01T00:00:00+00:00,East Melbourne,60
2005-01-01T00:00:00+00:00,Kensington,11
2005-01-01T00:00:00+00:00,Melbourne (CBD),1298
2005-01-01T00:00:00+00:00,Melbourne (Remainder),46
2005-01-01T00:00:00+00:00,North Melbourne,116
2005-01-01T00:00:00+00:00,Parkville,34
2005-01-01T00:00:00+00:00,Port Melbourne,11
2005-01-01T00:00:00+00:00,South Yarra,13
2005-01-01T00:00:00+00:00,Southbank,107
