census_year,clue_small_area,Total_cafe,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total_Dwel,New_food_services
2002,Carlton,241,190,40,0,31,13,61,13,41,102,30,31,0,146,143,13,15,166,10,24,1069,80.0,12
2002,Docklands,24,23,6,1,9,4,1,6,1,3,5,6,0,14,7,7,4,11,36,3,147,850.0,13
2002,East Melbourne,39,54,22,0,42,4,12,8,17,153,10,8,0,40,70,14,5,16,6,7,488,78.0,1
2002,Kensington,8,12,1,0,60,2,2,4,2,9,1,22,0,8,6,3,2,7,5,23,169,81.0,0
2002,Melbourne (CBD),1072,993,489,7,92,68,143,53,620,332,216,289,31,605,1343,161,148,1317,129,128,7164,1452.0,0
2002,Melbourne (Remainder),37,24,24,1,36,5,8,4,39,54,11,7,3,27,94,4,5,17,7,8,378,0.0,0
2002,North Melbourne,79,84,32,2,37,20,14,22,22,33,24,65,0,133,111,7,15,93,43,75,832,89.0,6
2002,Parkville,30,51,3,0,24,0,7,7,5,48,1,2,0,21,6,4,1,19,4,3,206,84.0,0
2002,Port Melbourne,3,4,6,0,9,11,2,5,2,0,8,37,1,2,21,5,3,8,21,35,180,0.0,0
2002,South Yarra,10,15,1,0,4,0,12,6,0,5,1,0,0,11,2,2,0,10,0,0,69,0.0,0
2002,Southbank,100,91,19,2,38,8,10,21,23,12,39,14,5,48,91,10,17,96,16,21,581,897.0,0
2002,West Melbourne (Industrial),13,10,4,1,5,6,0,8,1,0,1,19,0,8,6,1,11,9,89,197,376,0.0,0
2002,West Melbourne (Residential),50,44,31,0,19,11,9,9,15,14,15,42,1,63,71,8,4,48,22,54,480,31.0,4
2003,Carlton,274,202,38,0,36,12,68,15,44,96,29,30,0,166,158,17,22,168,11,28,1140,793.0,0
2003,Docklands,50,36,5,1,9,4,2,6,3,6,5,3,0,13,6,7,2,16,18,3,145,791.0,0
2003,East Melbourne,44,55,20,1,41,4,13,7,15,104,8,6,0,47,73,17,7,16,3,6,443,0.0,0
2003,Kensington,8,12,1,0,60,2,2,4,2,9,1,22,0,8,6,3,2,7,5,23,169,1332.0,0
2003,Melbourne (CBD),1072,993,489,7,92,68,143,53,620,332,216,289,31,605,1343,161,148,1317,129,128,7164,493.0,113
2003,Melbourne (Remainder),37,24,24,1,36,5,8,4,39,54,11,7,3,27,94,4,5,17,7,8,378,0.0,5
2003,North Melbourne,99,90,33,1,31,19,15,21,23,37,30,78,1,127,142,4,19,95,38,63,867,171.0,0
2003,Parkville,33,50,3,1,20,0,11,8,6,45,2,4,0,24,13,4,1,18,4,2,216,0.0,0
