data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student_accommodation_units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application,longitude,latitude,geopoint
Pre May 16,X000384,COMPLETED,2005,Carlton,255,522-536 Swanston Street CARLTON VIC 3053,594107,,,,,10,0,0,0,0,0,201,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9636398,-37.80430718,"{'lon': 144.9636398, 'lat': -37.80430718}"
Pre May 16,X000669,COMPLETED,2006,Kensington,520,84-102 Altona Street KENSINGTON VIC 3031,597180,,,,,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9256686,-37.79662813,"{'lon': 144.9256686, 'lat': -37.79662813}"
Pre May 16,X001059,COMPLETED,2006,Docklands,1107,Kangan TAFE 2-48 Harbour Esplanade DOCKLANDS VIC 3008,602858,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5616,0,0,0,0,0,0,0,144.9486115,-37.82202187,"{'lon': 144.9486115, 'lat': -37.82202187}"
Pre May 16,X001060,COMPLETED,2011,Docklands,1107,Kangan TAFE 2-48 Harbour Esplanade DOCKLANDS VIC 3008,602858,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,144.9486115,-37.82202187,"{'lon': 144.9486115, 'lat': -37.82202187}"
Pre May 16,X000042,COMPLETED,2005,Melbourne (CBD),21,607-623 Collins Street MELBOURNE VIC 3000,606461,,,,,6,0,0,0,0,0,0,0,0,0,145,45,190,0,0,0,126,0,0,0,0,0,0,0,0,0,0,144.9546898,-37.8192929,"{'lon': 144.9546898, 'lat': -37.8192929}"
Pre May 16,X000972,COMPLETED,2006,Parkville,928,2 Galada Avenue PARKVILLE VIC 3052,606553,,,,,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9416584,-37.78179377,"{'lon': 144.9416584, 'lat': -37.78179377}"
Pre May 16,X000480,COMPLETED,2006,North Melbourne,342,187 Abbotsford Street NORTH MELBOURNE VIC 3051,608171,,,,,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9451656,-37.80304719,"{'lon': 144.9451656, 'lat': -37.80304719}"
Pre May 16,X000464,COMPLETED,2009,North Melbourne,335,Dryburgh Corporate Suites 204-210 Dryburgh Street NORTH MELBOURNE VIC 3051,608207,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2655,23,0,0,0,0,0,0,0,0,0,0,144.9440644,-37.80156916,"{'lon': 144.9440644, 'lat': -37.80156916}"
Pre May 16,X000984,COMPLETED,2006,Parkville,928,181 Oak Street PARKVILLE VIC 3052,608377,,,,,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9424779,-37.77749902,"{'lon': 144.9424779, 'lat': -37.77749902}"
Pre May 16,X000970,COMPLETED,2006,Parkville,928,23 Strickland Road PARKVILLE VIC 3052,608403,,,,,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.941665,-37.77739398,"{'lon': 144.941665, 'lat': -37.77739398}"
