,census_year,Total_cafe,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total_Dwel
0,2002,-120.5,95.0,32.0,0.0,18.599999999999998,2.6,54.9,3.9,32.800000000000004,102.0,24.0,27.900000000000002,0.0,29.200000000000003,114.4,10.4,9.0,166.0,6.0,12.0,534.5,80.0
1,2002,-12.0,11.5,4.800000000000001,0.2,5.3999999999999995,0.8,0.9,1.7999999999999998,0.8,3.0,4.0,5.4,0.0,2.8000000000000003,5.6000000000000005,5.6000000000000005,2.4,11.0,21.599999999999998,1.5,73.5,850.0
2,2002,-19.5,27.0,17.6,0.0,25.2,0.8,10.8,2.4,13.600000000000001,153.0,8.0,7.2,0.0,8.0,56.0,11.200000000000001,3.0,16.0,3.5999999999999996,3.5,244.0,78.0
3,2002,-4.0,6.0,0.8,0.0,36.0,0.4,1.8,1.2,1.6,9.0,0.8,19.8,0.0,1.6,4.800000000000001,2.4000000000000004,1.2,7.0,3.0,11.5,84.5,81.0
4,2002,-536.0,496.5,391.20000000000005,1.4000000000000001,55.199999999999996,13.600000000000001,128.70000000000002,15.899999999999999,496.0,332.0,172.8,260.1,3.1,121.0,1074.4,128.8,88.8,1317.0,77.39999999999999,64.0,3582.0,1452.0
5,2002,-18.5,12.0,19.200000000000003,0.2,21.599999999999998,1.0,7.2,1.2,31.200000000000003,54.0,8.8,6.3,0.30000000000000004,5.4,75.2,3.2,3.0,17.0,4.2,4.0,189.0,0.0
6,2002,-39.5,42.0,25.6,0.4,22.2,4.0,12.6,6.6,17.6,33.0,19.200000000000003,58.5,0.0,26.6,88.80000000000001,5.6000000000000005,9.0,93.0,25.8,37.5,416.0,89.0
7,2002,-15.0,25.5,2.4000000000000004,0.0,14.399999999999999,0.0,6.3,2.1,4.0,48.0,0.8,1.8,0.0,4.2,4.800000000000001,3.2,0.6,19.0,2.4,1.5,103.0,84.0
8,2002,-1.5,2.0,4.800000000000001,0.0,5.3999999999999995,2.2,1.8,1.5,1.6,0.0,6.4,33.300000000000004,0.1,0.4,16.8,4.0,1.7999999999999998,8.0,12.6,17.5,90.0,0.0
9,2002,-5.0,7.5,0.8,0.0,2.4,0.0,10.8,1.7999999999999998,0.0,5.0,0.8,0.0,0.0,2.2,1.6,1.6,0.0,10.0,0.0,0.0,34.5,0.0
10,2002,-50.0,45.5,15.200000000000001,0.4,22.8,1.6,9.0,6.3,18.400000000000002,12.0,31.200000000000003,12.6,0.5,9.600000000000001,72.8,8.0,10.2,96.0,9.6,10.5,290.5,897.0
11,2002,-6.5,5.0,3.2,0.2,3.0,1.2000000000000002,0.0,2.4,0.8,0.0,0.8,17.1,0.0,1.6,4.800000000000001,0.8,6.6,9.0,53.4,98.5,188.0,0.0
12,2002,-25.0,22.0,24.8,0.0,11.4,2.2,8.1,2.6999999999999997,12.0,14.0,12.0,37.800000000000004,0.1,12.600000000000001,56.800000000000004,6.4,2.4,48.0,13.2,27.0,240.0,31.0
