census_year,clue_small_area,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total
2002,Carlton,190,40,0,31,13,61,13,41,102,30,31,0,146,143,13,15,166,10,24,1069,80.0
2002,City of Melbourne (total),1595,678,14,406,152,281,166,788,765,362,542,41,1126,1971,239,230,1817,388,578,12139,
2002,Docklands,23,6,1,9,4,1,6,1,3,5,6,0,14,7,7,4,11,36,3,147,850.0
2002,East Melbourne,54,22,0,42,4,12,8,17,153,10,8,0,40,70,14,5,16,6,7,488,78.0
2002,Kensington,12,1,0,60,2,2,4,2,9,1,22,0,8,6,3,2,7,5,23,169,81.0
2002,Melbourne (CBD),993,489,7,92,68,143,53,620,332,216,289,31,605,1343,161,148,1317,129,128,7164,1452.0
2002,Melbourne (Remainder),24,24,1,36,5,8,4,39,54,11,7,3,27,94,4,5,17,7,8,378,
2002,North Melbourne,84,32,2,37,20,14,22,22,33,24,65,0,133,111,7,15,93,43,75,832,89.0
2002,Parkville,51,3,0,24,0,7,7,5,48,1,2,0,21,6,4,1,19,4,3,206,84.0
2002,Port Melbourne,4,6,0,9,11,2,5,2,0,8,37,1,2,21,5,3,8,21,35,180,0.0
2002,South Yarra,15,1,0,4,0,12,6,0,5,1,0,0,11,2,2,0,10,0,0,69,
2002,Southbank,91,19,2,38,8,10,21,23,12,39,14,5,48,91,10,17,96,16,21,581,897.0
2002,West Melbourne (Industrial),10,4,1,5,6,0,8,1,0,1,19,0,8,6,1,11,9,89,197,376,0.0
2002,West Melbourne (Residential),44,31,0,19,11,9,9,15,14,15,42,1,63,71,8,4,48,22,54,480,31.0
2003,Carlton,202,38,0,36,12,68,15,44,96,29,30,0,166,158,17,22,168,11,28,1140,793.0
2003,City of Melbourne (total),1630,670,15,404,147,294,167,797,718,370,548,42,1154,2041,245,248,1827,362,580,12259,
2003,Docklands,36,5,1,9,4,2,6,3,6,5,3,0,13,6,7,2,16,18,3,145,791.0
2003,East Melbourne,55,20,1,41,4,13,7,15,104,8,6,0,47,73,17,7,16,3,6,443,
2003,Kensington,12,1,0,60,2,2,4,2,9,1,22,0,8,6,3,2,7,5,23,169,1332.0
2003,Melbourne (CBD),993,489,7,92,68,143,53,620,332,216,289,31,605,1343,161,148,1317,129,128,7164,493.0
2003,Melbourne (Remainder),24,24,1,36,5,8,4,39,54,11,7,3,27,94,4,5,17,7,8,378,
2003,North Melbourne,90,33,1,31,19,15,21,23,37,30,78,1,127,142,4,19,95,38,63,867,171.0
2003,Parkville,50,3,1,20,0,11,8,6,45,2,4,0,24,13,4,1,18,4,2,216,
2003,Port Melbourne,4,6,0,9,11,2,5,2,0,8,37,1,2,21,5,3,8,21,35,180,0.0
2003,South Yarra,15,1,0,4,0,12,6,0,5,1,0,0,11,2,2,0,10,0,0,69,24.0
2003,Southbank,91,19,2,38,8,10,21,23,12,39,14,5,48,91,10,17,96,16,21,581,182.0
2003,West Melbourne (Industrial),10,5,1,7,5,0,9,1,0,2,19,0,7,3,2,15,7,87,218,398,
2003,West Melbourne (Residential),48,26,0,21,9,8,8,19,18,18,39,1,69,89,9,7,52,23,45,509,95.0
2004,Carlton,202,38,0,36,12,68,15,44,96,29,30,0,166,158,17,22,168,11,28,1140,58.0
2004,City of Melbourne (total),1763,697,18,430,153,304,174,754,716,364,544,39,1145,2077,247,252,1928,350,588,12543,
2004,Docklands,36,5,1,9,4,2,6,3,6,5,3,0,13,6,7,2,16,18,3,145,183.0
2004,East Melbourne,55,20,1,41,4,13,7,15,104,8,6,0,47,73,17,7,16,3,6,443,41.0
2004,Kensington,11,2,0,60,3,1,5,2,11,0,25,0,13,9,3,2,7,5,19,178,111.0
2004,Melbourne (CBD),1106,510,9,114,70,156,60,591,331,213,287,27,583,1391,165,148,1409,120,132,7422,1085.0
2004,Melbourne (Remainder),29,22,1,37,6,7,3,31,49,11,6,3,33,73,5,7,19,9,7,358,
2004,North Melbourne,90,33,1,31,19,15,21,23,37,30,78,1,127,142,4,19,95,38,63,867,168.0
2004,Parkville,50,3,1,20,0,11,8,6,45,2,4,0,24,13,4,1,18,4,2,216,
2004,Port Melbourne,6,11,0,8,13,1,5,3,0,10,35,1,3,34,4,4,13,22,43,216,0.0
2004,South Yarra,16,0,0,4,0,12,6,0,4,1,0,0,10,3,1,0,10,0,0,67,
2004,Southbank,104,22,3,42,8,10,21,16,15,35,12,6,50,83,9,18,98,10,22,584,814.0
2004,West Melbourne (Industrial),10,5,1,7,5,0,9,1,0,2,19,0,7,3,2,15,7,87,218,398,
2004,West Melbourne (Residential),48,26,0,21,9,8,8,19,18,18,39,1,69,89,9,7,52,23,45,509,22.0
2005,Carlton,218,36,0,37,12,66,16,43,101,25,32,0,153,158,18,20,166,10,27,1138,394.0
2005,City of Melbourne (total),1909,672,20,446,156,338,173,791,818,391,518,47,1182,2174,266,275,2174,367,608,13325,
2005,Docklands,94,17,2,17,8,3,6,9,7,9,5,0,29,38,11,15,108,37,3,418,746.0
